Station Name,Line,Date opened,Layout
Attiguppe,Purple Line,16-Nov-15,Elevated
Baiyappanahalli,Purple Line,20-Oct-11,At Grade
Banashankari,Green Line,18-Jun-17,Elevated
Bangalore City Railway Station,Purple Line,29-Apr-16,Underground
Chickpete,Green Line,18-Jun-17,Underground
Cubbon Park,Purple Line,29-Apr-16,Underground
Dasarahalli,Green Line,01-May-15,Elevated
Deepanjali Nagar,Purple Line,16-Nov-15,Elevated
"Dr. B. R. Ambedkar Station, Vidhana Soudha",Purple Line,29-Apr-16,Underground
Goraguntepalya,Green Line,01-Mar-14,Elevated
Halasuru,Purple Line,20-Oct-11,Elevated
Hosahalli,Purple Line,16-Nov-15,Elevated
Indiranagar,Purple Line,20-Oct-11,Elevated
Jalahalli,Green Line,01-May-15,Elevated
Jayanagar,Green Line,18-Jun-17,Elevated
Jayaprakash Nagar,Green Line,18-Jun-17,Elevated
Krishna Rajendra Market,Green Line,18-Jun-17,Underground
Lalbagh,Green Line,18-Jun-17,Elevated
Magadi Road,Purple Line,16-Nov-15,Elevated
Mahalakshmi,Green Line,01-Mar-14,Elevated
Mahatma Gandhi Road,Purple Line,20-Oct-11,Elevated
Majestic,Green & Purple Line,29-Apr-16,Underground
Mysore Road,Purple Line,16-Nov-15,Elevated
Nagasandra,Green Line,01-May-15,Elevated
National College,Green Line,,Elevated
Peenya,Green Line,01-Mar-14,Elevated
Peenya Industry,Green Line,01-Mar-14,Elevated
Rajajinagar,Green Line,01-Mar-14,Elevated
Rashtrakavi Kuvempu Road,Green Line,01-Mar-14,Elevated
Rashtreeya Vidyalaya Road,Green Line,18-Jun-17,Elevated
Sampige Road,Green Line,01-Mar-14,Elevated
Sandal Soap Factory,Green Line,01-Mar-14,Elevated
Sir M. Visveshwarya,Purple Line,29-Apr-16,Underground
South End Circle,Green Line,18-Jun-17,Elevated
Srirampura,Green Line,01-Mar-14,Elevated
Swami Vivekananda Road,Purple Line,20-Oct-11,Elevated
Trinity,Purple Line,20-Oct-11,Elevated
Vijayanagar,Purple Line,16-Nov-15,Elevated
Yelachenahalli,Green Line,18-Jun-17,Elevated
Yeshwantpur,Green Line,01-Mar-14,Elevated
